time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-01-14T15:34:16.423Z,-0.8531,-22.0844,10,4.9,mb,37,92,10.426,0.98,us,us6000m3m5,2024-01-14T15:50:27.040Z,"central Mid-Atlantic Ridge",earthquake,8.32,1.883,0.058,95,reviewed,us,us
2024-01-14T15:13:45.416Z,56.5468,-156.0101,4.1,2.5,ml,,,,0.61,ak,ak024nej8xe,2024-01-14T15:16:49.738Z,"120 km WSW of Akhiok, Alaska",earthquake,,1,,,automatic,ak,ak
2024-01-14T12:38:40.532Z,35.67257309,-97.38610077,1.360226512,2.99,ml,82,20.73908997,0.1161915436,0.6001561021,ok,ok2024ayso,2024-01-14T16:02:39.765Z,"5 km W of Arcadia, Oklahoma",earthquake,1.204259369,1.039091419,0.38,60,automatic,ok,ok
2024-01-14T11:00:38.386Z,-20.4552,-178.3182,518.554,4.5,mb,24,79,2.999,0.53,us,us6000m3lk,2024-01-14T13:02:10.040Z,"Fiji region",earthquake,13.59,8.091,0.128,18,reviewed,us,us
2024-01-14T10:56:20.801Z,4.8196,126.2319,92.129,4.6,mb,35,88,2.328,0.65,us,us6000m3lj,2024-01-14T12:40:20.040Z,"106 km SE of Sarangani, Philippines",earthquake,7.25,8.306,0.109,25,reviewed,us,us
2024-01-14T09:54:10.521Z,-22.018,-63.7515,540.931,4.7,mb,31,72,3.441,0.45,us,us6000m3le,2024-01-14T10:22:12.040Z,"7 km W of Yacuiba, Bolivia",earthquake,16.2,7.757,0.225,6,reviewed,us,us
2024-01-14T09:30:00.177Z,-20.3784,-177.6265,496.886,4.5,mb,66,72,2.399,0.81,us,us6000m3ld,2024-01-14T12:37:33.040Z,"257 km WNW of Houma, Tonga",earthquake,13,7.506,0.049,121,reviewed,us,us
2024-01-14T09:11:54.349Z,32.2914,138.0142,368.938,4.1,mb,30,203,1.725,0.41,us,us6000m3lc,2024-01-14T12:34:22.040Z,"246 km ESE of Kushimoto, Japan",earthquake,13.17,10.756,0.14,14,reviewed,us,us
2024-01-14T08:19:55.157Z,38.6939,-27.1284,10,4.9,mb,78,81,1.568,0.38,us,us6000m3la,2024-01-14T14:54:42.996Z,"4 km W of Fonte Bastardo, Portugal",earthquake,8.15,1.863,0.048,133,reviewed,us,us
2024-01-14T07:10:17.945Z,60.0841,-152.5305,89.6,2.5,ml,,,,0.6,ak,ak024n9r2oy,2024-01-14T07:55:22.040Z,"47 km WNW of Happy Valley, Alaska",earthquake,,0.4,,,automatic,ak,ak
2024-01-14T04:58:53.120Z,17.9238333333333,-66.8371666666667,7.2,2.64,md,21,187,0.06481,0.19,pr,pr71436843,2024-01-14T05:14:39.090Z,"8 km SSW of Indios, Puerto Rico",earthquake,0.54,0.32,0.0998236690216572,8,reviewed,pr,pr
